0,CombatZoneResize,133,251,508,391,TLResume,,,
0,HeartTeleport,320,376,,,,,,
0,HeartMode,1,,,,,,,
0,TLPause,,,,,,,,
0,PlatformRepeat,513,346,121,2,120,5,220,
0,PlatformRepeat,-71,306,161,0,120,4,280,
0,SET,Loop,16,,,,,,
0,JMPZ,22,$Loop,,,,,,
0,SUB,Loop,$Loop,1,,,,,
0,RND,Jump,3,,,,,,
0,ADD,Jump,$Jump,15,,,,,
0,JMPREL,$Jump,,,,,,,
0,JMPREL,2,,,,,,,
0,JMPREL,3,,,,,,,
0,JMPREL,4,,,,,,,
0,BoneV,517,257,45,2,120,,,
0.5,JMPABS,2,,,,,,,
0,BoneV,517,349,35,2,120,,,
0.5,JMPABS,4,,,,,,,
0,BoneV,517,349,35,2,120,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
0.5,JMPABS,8,,,,,,,
,,,,,,,,,
,,,,,,,,,
0,BoneV,517,349,35,2,120,,,
0.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,2,0,0,$HeartX,$HeartY,0,0,0.4
0.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,2,0,0,$HeartX,$HeartY,90,0,0.4
0.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,2,0,0,$HeartX,$HeartY,45,0,0.4
0.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,2,0,0,$HeartX,$HeartY,135,0,0.4
0.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,2,0,0,$HeartX,$HeartY,270,0,0.41
0.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,2,0,0,$HeartX,$HeartY,360,0,0.4
0.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,2,0,0,$HeartX,$HeartY,0,0,0.4
0.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,2,0,0,$HeartX,$HeartY,90,0,0.4
0.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,2,0,0,$HeartX,$HeartY,45,0,0.4
0.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,2,0,0,$HeartX,$HeartY,135,0,0.4
0.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,2,0,0,$HeartX,$HeartY,270,0,0.41
0.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,2,0,0,$HeartX,$HeartY,360,0,0.4
0.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,2,0,0,$HeartX,$HeartY,0,0,0.4
0.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,2,0,0,$HeartX,$HeartY,90,0,0.4
0.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,2,0,0,$HeartX,$HeartY,45,0,0.4
0.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,2,0,0,$HeartX,$HeartY,135,0,0.4
0.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,2,0,0,$HeartX,$HeartY,270,0,0.41
0.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,2,0,0,$HeartX,$HeartY,360,0,0.4
0.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,2,0,0,$HeartX,$HeartY,0,0,0.4
0,EndAttack,,,,,,,,
3.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15
1.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15
1.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15
1.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15
1.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15
1.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15
1.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15
1.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15
1.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15
1.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15
1.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15
1.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15
1.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15
1.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15
1.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15
1.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15
1.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15
1.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15
